Trial,ts,tr,Error
1,500,808.36,308.36
2,1900,1776.88,-123.12
3,400,625.95,225.95
4,1900,2021.62,121.62
5,1900,1885.56,-14.44
6,700,622.79,-77.21
7,1100,1427.64,327.64
8,1100,1200.63,100.63
9,1900,1695.13,-204.87
10,1100,1124.32,24.32
11,1100,1316.17,216.17
12,1100,1107.27,7.27
13,1100,1364.41,264.41
14,500,728.7,228.7
15,400,466.62,66.62
16,1100,1229.57,129.57
17,1900,1954.31,54.31
18,700,851.49,151.49
19,1100,1328.76,228.76
20,400,454.36,54.36
21,700,786.31,86.31
22,1100,1138.88,38.88
23,500,765.14,265.14
24,1100,983.12,-116.88
25,400,129.5,-270.5
26,1900,1075.64,-824.36
27,700,807.09,107.09
28,1100,1183.58,83.58
29,700,729.07,29.07
30,1900,1386.46,-513.54
31,700,1026.37,326.37
32,400,588.77,188.77
33,1900,1543.01,-356.99
34,1900,1943.77,43.77
35,1900,2141.64,241.64
36,400,354.73,-45.27
37,1100,897.66,-202.34
38,500,538.21,38.21
39,700,836.01,136.01
40,1900,1627.14,-272.86
1,1100,1211.67,111.67
2,500,604.74,104.74
3,400,482.94,82.94
4,700,896.08,196.08
5,1900,1487.86,-412.14
6,700,599.62,-100.38
7,400,754.1,354.1
8,400,356.51,-43.49
9,500,624.39,124.39
10,400,391.32,-8.68
11,500,588.58,88.58
12,1100,772.07,-327.93
13,700,1136.62,436.62
14,500,723.07,223.07
15,400,729.2,329.2
16,700,926.55,226.55
17,400,354.57,-45.43
18,400,359.49,-40.51
19,400,409.59,9.59
20,1900,1683.74,-216.26
21,400,692.92,292.92
22,500,526.05,26.05
23,700,822.33,122.33
24,400,679.4,279.4
25,400,804.8,404.8
26,1900,1745.46,-154.54
27,700,784.83,84.83
28,1900,2220.02,320.02
29,500,699.22,199.22
30,700,791.09,91.09
31,500,1113.34,613.34
32,400,1061.92,661.92
33,700,864.73,164.73
34,1900,1403.12,-496.88
35,700,765.77,65.77
36,500,630.71,130.71
37,500,463.93,-36.07
38,1100,810.63,-289.37
39,500,582.38,82.38
40,400,292.52,-107.48
1,700,630.81,-69.19
2,500,422.23,-77.77
3,1900,1215.85,-684.15
4,700,945,245
5,700,667.72,-32.28
6,1100,853.27,-246.73
7,500,747.99,247.99
8,400,636.69,236.69
9,1900,1617.23,-282.77
10,400,907.96,507.96
11,500,649.93,149.93
12,400,753.86,353.86
13,400,476.47,76.47
14,700,538.77,-161.23
15,1100,1024.93,-75.07
16,1900,2109.86,209.86
17,1100,977.05,-122.95
18,400,698.35,298.35
19,700,809.03,109.03
20,1900,1821.03,-78.97
21,1100,1032.27,-67.73
22,1900,1820.82,-79.18
23,400,340.82,-59.18
24,1900,1690.06,-209.94
25,700,1098.67,398.67
26,1900,1974.88,74.88
27,700,976.1,276.1
28,400,785.46,385.46
29,400,594.99,194.99
30,700,1012.18,312.18
31,1900,1666,-234
32,1100,1228.72,128.72
33,1100,1148.68,48.68
34,1900,1481.1,-418.9
35,1900,1297.67,-602.33
36,700,884.48,184.48
37,400,600.27,200.27
38,400,416.22,16.22
39,1900,1352.88,-547.12
40,400,533.16,133.16